learning_rate,warmup_ratio,rank,alpha,dropout,target_modules,trial_id,val_accuracy,pso_epoch,training_time_sec
8.116262258099887e-05,0.1,16,32,0.0,"['q_lin', 'v_lin']",1,0.648,1,69.52715396881104
0.00016816410175208015,0.0,2,8,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",2,0.72,1,75.74060273170471
9.665329700123683e-05,0.1,2,32,0.1,"['q_lin', 'v_lin']",3,0.662,1,70.34119033813477
6.787661614294043e-05,0.0,16,32,0.0,"['q_lin', 'v_lin']",4,0.6115,1,70.95033502578735
0.00011387495307522314,0.0,24,64,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",5,0.772,1,80.7028739452362
8.384868504100159e-05,0.0,24,16,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",6,0.677,1,80.76051092147827
1.1049202253484457e-05,0.1,16,64,0.2,"['q_lin', 'v_lin']",7,0.362,1,71.25077605247498
6.908664112597582e-05,0.0,16,64,0.2,"['q_lin', 'v_lin']",8,0.672,1,71.47939872741699
0.00010931923758257887,0.06,2,8,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",9,0.6695,1,78.71950125694275
5.347165144340827e-05,0.0,4,8,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",10,0.5465,1,80.11131501197815
0.0001634136294811719,0.1,4,8,0.0,"['q_lin', 'v_lin']",11,0.677,1,71.08086681365967
3.277441979339974e-05,0.06,24,16,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",12,0.5415,1,80.72435259819031
6.411969393171885e-05,0.0,16,32,0.0,"['q_lin', 'v_lin']",13,0.5925,1,70.9504337310791
0.00013770575400711693,0.1,4,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",14,0.8135,1,79.99512648582458
1.7747276895405145e-05,0.06,16,8,0.1,"['q_lin', 'v_lin']",15,0.382,1,71.50813174247742
7.480260669954911e-05,0.0,24,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",16,0.7395,1,80.57457780838013
0.00018107943086103278,0.06,4,16,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",17,0.7755,1,79.63059329986572
0.0001252215213353221,0.0,2,64,0.0,"['q_lin', 'v_lin']",18,0.6985,1,70.75501775741577
7.182594265026087e-05,0.1,16,96,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",19,0.7275,1,80.19783282279968
0.00017948884548365154,0.06,16,32,0.1,"['q_lin', 'v_lin']",20,0.7445,1,71.27049612998962
1e-05,0.1,8,96,0.0,"['q_lin', 'v_lin']",21,0.399,2,70.84511399269104
1e-05,0.0,4,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",22,0.473,2,79.7024917602539
0.0002,0.06,2,64,0.1,"['q_lin', 'v_lin']",23,0.7735,2,70.51737332344055
1e-05,0.06,4,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",24,0.4935,2,77.96678709983826
0.0002,0.1,2,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",25,0.848,2,77.84836792945862
1e-05,0.06,8,64,0.05,"['q_lin', 'v_lin']",26,0.387,2,70.81995820999146
1e-05,0.06,8,64,0.05,"['q_lin', 'v_lin']",27,0.366,2,70.59438133239746
1e-05,0.06,2,64,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",28,0.4175,2,78.84291124343872
1e-05,0.06,8,16,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",29,0.4315,2,77.50278902053833
0.0002,0.06,4,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",30,0.88,2,78.87640428543091
0.0002,0.1,2,96,0.05,"['q_lin', 'v_lin']",31,0.7775,2,70.28682923316956
1e-05,0.06,16,96,0.05,"['q_lin', 'v_lin']",32,0.399,2,70.45270824432373
0.0002,0.0,4,32,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",33,0.823,2,79.39837193489075
0.0002,0.1,2,96,0.05,"['q_lin', 'v_lin']",34,0.7845,2,71.08500409126282
0.0002,0.06,8,64,0.05,"['q_lin', 'v_lin']",35,0.7785,2,71.20795512199402
0.0002,0.0,2,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",36,0.833,2,79.65633702278137
0.0002,0.1,4,32,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",37,0.821,2,79.60673069953918
0.0002,0.0,4,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",38,0.85,2,78.15839195251465
1e-05,0.1,2,64,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",39,0.486,2,79.5497498512268
1e-05,0.1,4,32,0.05,"['q_lin', 'v_lin']",40,0.3535,2,71.13042998313904
1e-05,0.0,8,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",41,0.4805,3,79.73272848129272
1e-05,0.0,8,32,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",42,0.407,3,79.80630993843079
0.0002,0.0,4,96,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",43,0.8515,3,79.71617770195007
1e-05,0.0,8,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",44,0.4915,3,79.89022183418274
0.0002,0.1,2,64,0.0,"['q_lin', 'v_lin']",45,0.78,3,70.70559763908386
1e-05,0.06,4,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",46,0.468,3,79.64687013626099
1e-05,0.0,4,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",47,0.4895,3,78.15038824081421
1e-05,0.06,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",48,0.5305,3,78.64543747901917
1e-05,0.06,4,32,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",49,0.422,3,78.10815477371216
0.0002,0.06,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",50,0.8625,3,78.4115777015686
0.0002,0.06,4,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",51,0.8655,3,80.08380842208862
1e-05,0.0,8,32,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",52,0.392,3,80.14732027053833
0.0002,0.06,2,96,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",53,0.8585,3,79.79649543762207
0.0002,0.0,8,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",54,0.868,3,79.97485995292664
0.0002,0.06,4,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",55,0.865,3,78.40565729141235
0.0002,0.06,2,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",56,0.841,3,79.54480409622192
0.0002,0.1,4,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",57,0.8515,3,78.39850449562073
0.0002,0.06,4,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",58,0.856,3,79.6740460395813
1e-05,0.06,16,96,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",59,0.5165,3,80.28902769088745
1e-05,0.0,4,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",60,0.4515,3,79.64083981513977
1e-05,0.06,8,32,0.0,"['q_lin', 'v_lin']",61,0.354,4,70.7513656616211
1e-05,0.0,2,8,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",62,0.3525,4,79.59851121902466
0.0002,0.0,8,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",63,0.8635,4,79.89987397193909
1e-05,0.0,16,64,0.0,"['q_lin', 'v_lin']",64,0.352,4,71.267245054245
0.0002,0.0,4,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",65,0.853,4,78.8127384185791
1e-05,0.0,24,16,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",66,0.356,4,79.67871713638306
1e-05,0.0,2,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",67,0.4945,4,78.54816198348999
1e-05,0.06,24,64,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",68,0.4585,4,80.8695638179779
1e-05,0.06,2,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",69,0.4675,4,78.309406042099
0.0002,0.0,4,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",70,0.858,4,77.4648551940918
0.0002,0.0,4,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",71,0.8565,4,78.90411877632141
1e-05,0.0,8,16,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",72,0.3655,4,78.919846534729
0.0002,0.06,4,96,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",73,0.8625,4,78.91410851478577
0.0002,0.0,16,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",74,0.8775,4,79.4259283542633
0.0002,0.06,4,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",75,0.8665,4,77.45749306678772
0.0002,0.06,2,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",76,0.849,4,78.78174066543579
0.0002,0.1,4,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",77,0.87,4,77.42929458618164
0.0002,0.06,8,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",78,0.8655,4,79.14942860603333
1e-05,0.0,16,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",79,0.495,4,79.92208480834961
1e-05,0.0,16,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",80,0.5,4,80.55302286148071
1e-05,0.1,8,64,0.0,"['q_lin', 'v_lin']",81,0.4065,5,71.28352212905884
1e-05,0.06,4,16,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",82,0.352,5,79.79377698898315
0.0002,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",83,0.862,5,78.44842958450317
1e-05,0.0,4,64,0.0,"['q_lin', 'v_lin']",84,0.415,5,71.22843718528748
0.0002,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",85,0.8685,5,78.70823240280151
1e-05,0.0,24,8,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",86,0.3825,5,79.1979329586029
1e-05,0.0,2,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",87,0.4645,5,79.69104433059692
1e-05,0.0,24,64,0.1,"['q_lin', 'v_lin']",88,0.367,5,71.42616319656372
1e-05,0.06,2,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",89,0.5245,5,79.58131790161133
0.0002,0.0,4,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",90,0.8485,5,79.6216311454773
0.0002,0.0,8,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",91,0.866,5,79.71751880645752
1e-05,0.0,24,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",92,0.462,5,80.62824654579163
0.0002,0.06,8,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",93,0.8615,5,79.61540532112122
0.0002,0.0,8,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",94,0.8545,5,79.81516075134277
0.0002,0.0,4,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",95,0.87,5,78.11097002029419
0.0002,0.06,4,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",96,0.8605,5,79.61489844322205
0.0002,0.06,4,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",97,0.8615,5,78.24123907089233
0.0002,0.06,8,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",98,0.8715,5,79.8293707370758
1e-05,0.06,8,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",99,0.5065,5,79.72590899467468
1e-05,0.06,8,64,0.1,"['q_lin', 'v_lin']",100,0.367,5,71.15129232406616
