generation,trial_id,accuracy,learning_rate,warmup_ratio,rank,alpha,dropout,target_modules
1,1,0.741,8.116262258099887e-05,0.0,8,96,0.0,"['q_lin', 'v_lin']"
1,2,0.728,9.470822304218231e-05,0.1,8,32,0.2,"['q_lin', 'v_lin']"
1,3,0.8115,0.0001242118522312097,0.1,24,16,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,4,0.894,0.00018832501471299255,0.06,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,5,0.704,0.00012621410049277337,0.0,16,8,0.0,"['q_lin', 'v_lin']"
1,6,0.783,0.00012625204999725212,0.06,16,64,0.2,"['q_lin', 'v_lin']"
1,7,0.8285,9.665329700123683e-05,0.1,8,64,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,8,0.771,0.00012255876808378807,0.1,24,32,0.1,"['q_lin', 'v_lin']"
1,9,0.739,9.559485787421317e-05,0.06,16,8,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,10,0.8835,0.00016359549614212762,0.0,4,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,11,0.6985,5.5794838544942225e-05,0.1,16,96,0.2,"['q_lin', 'v_lin']"
1,12,0.6455,4.2939284166476696e-05,0.0,16,16,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,13,0.7005,6.922510445698809e-05,0.06,4,64,0.05,"['q_lin', 'v_lin']"
1,14,0.8555,0.00019422107927526613,0.06,16,16,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,15,0.83,0.0001860651845008209,0.1,16,8,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,16,0.889,0.00017046143124884879,0.0,4,96,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,17,0.82,0.00019339850838018624,0.0,2,96,0.1,"['q_lin', 'v_lin']"
1,18,0.5375,2.4164622299156458e-05,0.1,2,8,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,19,0.392,1.1049202253484457e-05,0.1,8,8,0.2,"['q_lin', 'v_lin']"
1,20,0.836,0.00016013335270092908,0.1,24,16,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
2,21,0.8865,0.00018832501471299255,0.06,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
2,22,0.7655,0.00011010136134646426,0.0,16,64,0.2,"['q_lin', 'v_lin']"
2,23,0.799,0.00012540659322195368,0.06,16,96,0.2,"['q_lin', 'v_lin']"
2,24,0.827,0.0002,0.06,16,64,0.1,"['q_lin', 'v_lin']"
2,25,0.7945,0.00012282368989054062,0.0,24,96,0.2,"['q_lin', 'v_lin']"
2,26,0.8195,0.0002,0.0,2,96,0.1,"['q_lin', 'v_lin']"
2,27,0.752,9.503924813145e-05,0.0,24,64,0.1,"['q_lin', 'v_lin']"
2,28,0.81,0.00019339850838018624,0.0,2,96,0.1,"['q_lin', 'v_lin']"
2,29,0.775,0.00013059968297191802,0.0,8,64,0.1,"['q_lin', 'v_lin']"
2,30,0.8185,0.0001877156543021339,0.1,4,64,0.2,"['q_lin', 'v_lin']"
2,31,0.8715,0.00015393946313334045,0.1,16,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
2,32,0.892,0.00018945363309072244,0.06,2,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
2,33,0.787,0.00012625204999725212,0.06,16,64,0.2,"['q_lin', 'v_lin']"
2,34,0.8485,0.00011131050580158078,0.0,4,64,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
2,35,0.852,0.00010594878729765216,0.06,4,96,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
2,36,0.854,0.00011605142223413065,0.06,16,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
2,37,0.6975,7.584695869124011e-05,0.0,4,16,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
2,38,0.827,0.00018300726205046534,0.1,16,8,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
2,39,0.8425,0.0001158524519537389,0.06,2,96,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
2,40,0.7975,0.00016417510225965606,0.0,4,64,0.05,"['q_lin', 'v_lin']"
3,41,0.8905,0.00018832501471299255,0.06,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
3,42,0.845,0.00011605142223413065,0.06,16,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
3,43,0.8105,0.00019004568890547128,0.1,4,8,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
3,44,0.886,0.00018233394416114571,0.06,4,96,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
3,45,0.8535,0.00010959911833785912,0.0,16,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
3,46,0.7725,0.00018696123575196724,0.06,16,8,0.2,"['q_lin', 'v_lin']"
3,47,0.795,0.00013516629988441058,0.06,24,64,0.1,"['q_lin', 'v_lin']"
3,48,0.8605,0.0001105007440446087,0.06,24,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
3,49,0.804,0.00019928272366464238,0.0,2,64,0.2,"['q_lin', 'v_lin']"
3,50,0.8105,9.030100882222323e-05,0.0,2,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
3,51,0.7905,0.00011960283496898055,0.1,24,64,0.2,"['q_lin', 'v_lin']"
3,52,0.78,0.0001130516740922709,0.06,16,64,0.0,"['q_lin', 'v_lin']"
3,53,0.8535,0.00011162810626396086,0.06,8,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
3,54,0.8145,0.00018872351625277291,0.0,4,64,0.1,"['q_lin', 'v_lin']"
3,55,0.7635,0.0001943752142480433,0.06,16,8,0.2,"['q_lin', 'v_lin']"
3,56,0.822,0.00018953254449264825,0.06,24,64,0.1,"['q_lin', 'v_lin']"
3,57,0.89,0.0002,0.06,16,64,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
3,58,0.8835,0.00017938419787436017,0.1,16,64,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
3,59,0.8525,0.00019377012672164046,0.06,16,16,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
3,60,0.8615,0.00011605142223413065,0.06,16,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,61,0.897,0.00018832501471299255,0.06,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,62,0.7025,4.1777215788293935e-05,0.06,8,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,63,0.858,0.00012648538568880145,0.06,16,64,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,64,0.848,0.00011162810626396086,0.06,8,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,65,0.896,0.0002,0.06,16,64,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,66,0.852,0.0001045378028009504,0.1,16,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,67,0.8895,0.0002,0.06,16,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,68,0.8055,7.996317771442595e-05,0.06,8,64,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,69,0.8865,0.00019371078305793678,0.06,24,64,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,70,0.8535,0.00011605142223413065,0.06,16,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,71,0.8495,0.00011192696601878047,0.06,8,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,72,0.8535,0.00011072605658743677,0.06,16,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,73,0.873,0.00013687152332293468,0.06,16,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,74,0.8665,0.0001318069510524988,0.06,8,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,75,0.8435,0.00011162810626396086,0.06,8,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,76,0.8585,0.00011162810626396086,0.06,8,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,77,0.8605,0.00011013807161247009,0.06,16,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,78,0.8885,0.0002,0.06,16,64,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,79,0.853,0.00011605142223413065,0.06,16,64,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,80,0.888,0.0001961551163923692,0.06,16,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,81,0.891,0.00018832501471299255,0.06,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,82,0.8925,0.00019543990527663683,0.06,16,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,83,0.892,0.00019871642870167132,0.06,16,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,84,0.8885,0.00019298312647975108,0.06,16,64,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,85,0.88,0.00016949901860843742,0.06,16,64,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,86,0.884,0.00019471323488943796,0.06,16,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,87,0.8435,0.00011092748944070599,0.06,8,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,88,0.8565,0.00013156286324039163,0.06,16,64,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,89,0.8935,0.00019758528880998918,0.06,16,64,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,90,0.88,0.0002,0.06,24,32,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,91,0.854,0.00011719297385976063,0.06,16,64,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,92,0.866,0.00012578664391942501,0.06,16,64,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,93,0.8785,0.00015583972478597176,0.06,16,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,94,0.8725,0.0001368660904252681,0.06,16,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,95,0.8275,0.0002,0.06,8,64,0.0,"['q_lin', 'v_lin']"
5,96,0.886,0.00019771357859123945,0.06,16,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,97,0.883,0.0002,0.06,16,64,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,98,0.889,0.00019686531422344618,0.06,24,64,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,99,0.86,0.00011162810626396086,0.06,8,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,100,0.859,0.0001322471084285321,0.06,8,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
